text,intent,label
I want help to submit my secondary shipping address,set_up_shipping_address,1
what are the penalties for breaking the contract?,check_cancellation_fee,0
directing to agent,contact_human_agent,0
"I have got to restore the PIN of my user, how to do it?",recover_password,1
I am trying to find information about a {{Account Type}} account removal,delete_account,1
i cannot subscribe to the newsltter,newsletter_subscription,0
can you show me the status of order {{Order Number}}?,track_order,0
check the available payment options,check_payment_methods,0
I don't know how to cancel purchase {{Order Number}},cancel_order,1
"I don't want this item, help me cancel purchase {{Order Number}}",cancel_order,1
assistance to talk to an agent,contact_human_agent,0
d uship to {{Delivery City}},delivery_options,0
I do not know how I can download the bill from {{Person Name}},get_invoice,0
wanna open a {{Account Type}} acfcount,create_account,1
"I haven't signed up yet, help me to create a pro account",create_account,1
need to receive reimbursements of my money,get_refund,1
"I can't afford this product, cancel order {{Order Number}}",cancel_order,1
I want assistancesubmitting the bloody new shipping address,set_up_shipping_address,1
getbills from {{Person Name}},get_invoice,0
i want help correcting  the address,change_shipping_address,1
i need help to check the cancellation penalty,check_cancellation_fee,0
can I see under which circumstances can I ask for a refund?,check_refund_policy,0
where to notify of an issue with a sign-up,registration_problems,0
notify of problem with signup,registration_problems,0
can you help me cancelling purchase {{Order Number}}?,cancel_order,1
I cannot notify of issues with signup,registration_problems,0
how can i check the withdrawal penalty,check_cancellation_fee,0
do you have a mail to get in touch with cusomer assistance?,contact_customer_service,0
create gold account,create_account,1
I don't know what I have to do to chat with an operator,contact_human_agent,0
"I have got to see the payment opitons, how to do it?",check_payment_methods,0
assistance seeing how soon can I expect my article,delivery_period,0
lcate order {{Order Number}},track_order,0
creating new {{Account Type}} account,create_account,1
I have got to check what hours I can call customer support,contact_customer_service,0
check in what cases can I ask for refunds,check_refund_policy,0
could I see the damn shipment methods?,delivery_options,0
"I have to enter my new delivery address, how to do it?",set_up_shipping_address,1
i have got to notify of an sisue with online payment,payment_issue,1
I am trying to unsubscribe to your damn company newsletter,newsletter_subscription,0
i want help canceling order {{Order Number}},cancel_order,1
I try to restore my user profile PIN,recover_password,1
is there a method to submit my feedback for ur products,review,0
I need help canceling order {{Order Number}},cancel_order,1
track purchase {{Order Number}},track_order,0
want help to report a trouble with online payment,payment_issue,1
i need help requesting reimbursemenmts,get_refund,1
i cant check if there is anything new on my restitution,track_refund,0
"I have to see the ETA of the order {{Order Number}}, how to do it?",track_order,0
can you help me to cancel purchase {{Order Number}}?,cancel_order,1
i try to edit purchase {{Order Number}},change_order,1
wanna know about the delivery period,delivery_period,0
I need assistance using the {{Account Category}} preofile,switch_account,1
i expect an rebate of {{Currency Symbol}}{{Refund Amount}},track_refund,0
is it possible to subscribe to the corporate newsletter,newsletter_subscription,0
wanna chat with a person,contact_human_agent,0
opening new gold account for daughter,create_account,1
I don't know how I can send some feedback about a product,review,0
how to change order {{Order Number}}?,change_order,1
"I have to see the early termination charge, can you help me?",check_cancellation_fee,0
I need help trying to edit the shipping address,change_shipping_address,1
switching to {{Account Category}} account,switch_account,1
help to purchase a few of your item,place_order,1
i need help recfeiving ur company newsletter,newsletter_subscription,0
would it be possible to obtain a reimbursement of my money,get_refund,1
getting invoices from eight months ago,get_invoice,0
help talking with customer assistance,contact_customer_service,0
I don't know how I can create a {{Account Type}} account,create_account,1
"I paid {{Refund Amount}} dollars for this item, I want to obtain a refund",get_refund,1
i dont know what to do to see the termination penalty,check_cancellation_fee,0
need assistance cancelling order {{Order Number}},cancel_order,1
wanna modify my user account how do i do it,edit_account,1
need assistance to switch a product of order {{Order Number}},change_order,1
what do i need to do to earn several of ur item,place_order,1
i do not know what to do to ask for rebates of money,get_refund,1
I have to reset my user profile key,recover_password,1
where do I check what hours I can call customer assistance?,contact_customer_service,0
i cannot speak with an  agent,contact_human_agent,0
i have got to cancel my newsletter subscription,newsletter_subscription,0
how do I see at what time customer assistance available is?,contact_customer_service,0
I am trying to change my delivery address,change_shipping_address,1
help cancelling my company newsletter subscription,newsletter_subscription,0
there are errors setting up my secondary shipping address,set_up_shipping_address,1
I need to file a customer complaint against your company,complaint,0
i need help using the freemium account,switch_account,1
modify order {{Order Number}},change_order,1
I want help to lodge a consumer complaint,complaint,0
I want help to talk to customer support,contact_customer_service,0
help me list your available payment methods,check_payment_methods,0
trackorder {{Order Number}},track_order,0
can ya help me speak toan agent,contact_human_agent,0
I do not know how to talk with a live agent,contact_human_agent,0
"I bought some articles, help me to cancel order {{Order Number}}",cancel_order,1
help to see the status of my rebate,track_refund,0
I do not know how to set up the secondary shipping address,set_up_shipping_address,1
I am waiting for a bloody compensation of {{Refund Amount}} dollars,track_refund,0
i do not know how to unsubscribe to ur company newsletter,newsletter_subscription,0
i  need help to leave an opinion for a service,review,0
what do I have to do to purchase seevral articles?,place_order,1
I try to see in what cases can I ask for reimbursements,check_refund_policy,0
I don't know what I have to do to reset the pass of my user,recover_password,1
I don't know what to do to file a claim against your company,complaint,0
I want help to remove some products from order {{Order Number}},change_order,1
can you help me obtain a compensation of my money?,get_refund,1
information about opening a freemium account,create_account,1
tell me what hours I can reach customer service,contact_customer_service,0
I do not know how I can leave my feedback for your services,review,0
assistance cancelling purchase {{Order Number}},cancel_order,1
I am calling to leave my feedback for your products,review,0
can you show me the ETA of purchase {{Order Number}}?,track_order,0
modify info on {{Account Category}} account,edit_account,1
I try to see purchase 732201349959current status,track_order,0
check in what situations can I request a reimbursement,check_refund_policy,0
i do not know how to check what shipment options uoffer,delivery_options,0
create new {{Account Type}} account for daughter,create_account,1
closing  {{Account Type}} account,delete_account,1
i need help seeing the cancellation fee,check_cancellation_fee,0
how to see the early exit fees?,check_cancellation_fee,0
opening new {{Account Type}} account,create_account,1
I want to report a problem with payment,payment_issue,1
I do not know how to inofrm of registration problems,registration_problems,0
I want to demand compensations of money,get_refund,1
editing {{Account Category}}  account,edit_account,1
rebating  {{Currency Symbol}}{{Refund Amount}},get_refund,1
"my experience with your brand was too bad, lodge a complaint",complaint,0
I need assistance to speak to a live agent,contact_human_agent,0
I have a question about opening {{Account Category}} accounts,create_account,1
where can I find information about the methods for shipping?,delivery_options,0
need assistance to file a consumer cclaim,complaint,0
i cannot chat with an assistant,contact_human_agent,0
i do not know what i need to do to list ur payment methods,check_payment_methods,0
I do not know what I need to do to close the {{Account Type}} account,delete_account,1
changkng to platinum account,switch_account,1
give me information about  the removal of my {{Account Type}} account,delete_account,1
I don't know how to see the withdrawal fees,check_cancellation_fee,0
how soon can I expect my delivery?,delivery_period,0
"I need to see the early exit penalties, can I get some help?",check_cancellation_fee,0
I try to see what hours I can reach customer assistance,contact_customer_service,0
ened support trying to change my address,change_shipping_address,1
i try to get the invoice from {{Person Name}},get_invoice,0
I do not know what I have to do to lodge a reclamation,complaint,0
i have to see how long the delivery takesi need help,delivery_period,0
updating details on {{Account Category}} account,edit_account,1
awnt assistance talking to an agent,contact_human_agent,0
I need to notify of problems with payments,payment_issue,1
assistance to check your accepted payment methods,check_payment_methods,0
I want assistance entering my new shipping address,set_up_shipping_address,1
I do not know what to do to download my invoice #37777,get_invoice,0
help notifying of issues with payments,payment_issue,1
i have to shop several articles,place_order,1
I do not know what I need to do to download bill #85632,get_invoice,0
help regarding payment,payment_issue,1
I want to know more about the subscription to the newsletter,newsletter_subscription,0
I want help cancelling my newsletter subscription,newsletter_subscription,0
i have gog to speak to customer support,contact_customer_service,0
I need help to see the available payment methods,check_payment_methods,0
want help checking the allowed payment methods,check_payment_methods,0
"I purchased some articles, cancel order {{Order Number}}",cancel_order,1
i need assistace opening a standard account for my daughter,create_account,1
help with payments,payment_issue,1
gedtting bill from {{Person Name}},get_invoice,0
I need assistance with adding an item to order {{Order Number}},change_order,1
I am trying to retrieve the PIN of my user profile,recover_password,1
where to purchase an article?,place_order,1
help  with a delivery address correction,change_shipping_address,1
where to check what hours i can contact customer assistance,contact_customer_service,0
i dont know how i can cancel order {{Order Number}},cancel_order,1
I do not know what to do to download my invoice #12588,get_invoice,0
I try to order a product,place_order,1
how long till I obtain a refund of money?,get_refund,1
ya have a free number to talk with customer service,contact_customer_service,0
can you help me using the {{Account Type}} profile?,switch_account,1
help me see the allowed payment options,check_payment_methods,0
wanna send feedback about ur services ho can i do it,review,0
cancel platinum account,delete_account,1
how to recover my bloody access key?,recover_password,1
want help using the {{Account Type}} account,switch_account,1
want assistance talking with somebody,contact_human_agent,0
I don't know what I have to do to download my bill #12588,get_invoice,0
i need assistance checking the withdrawal charges,check_cancellation_fee,0
I don't know how to order several of your product,place_order,1
i try to talk with a person,contact_human_agent,0
I want to know moreabout the delivery period,delivery_period,0
how to see order {{Order Number}} current status?,track_order,0
I need help to speak to someond,contact_human_agent,0
where can I cancel purchase {{Order Number}}?,cancel_order,1
update {{Account Category}} account,edit_account,1
can I use the gold profile?,switch_account,1
can ya help me switching several products  of order {{Order Number}},change_order,1
I have to make a consumer reclamation against your company,complaint,0
I try to see the fucking restitution current status,track_refund,0
changing to freemium account,switch_account,1
need assistance to acquire several of ur article,place_order,1
need assistance to enter the shipping address,set_up_shipping_address,1
I have problems with the deletion of a {{Account Type}} account,delete_account,1
I don't know what to do to see the delivery options,delivery_options,0
help me writing an opinion for your products,review,0
were can i cancel purchase {{Order Number}},cancel_order,1
"I can't create a profile, I want to inform of signup issues",registration_problems,0
assistance to talk to customer service,contact_customer_service,0
i want help to create  a {{Account Category}} account,create_account,1
help me to lodge a consumer claim,complaint,0
help me use the {{Account Category}} profile,switch_account,1
help asking for a compensation,get_refund,1
"I have forgotten my user account key, help to restore it",recover_password,1
help  to leave feedback for your company,review,0
i expect a reimbursement of {{Refund Amount}} dollars,track_refund,0
i cannot create a {{Account Category}}  account,create_account,1
assistance opening a {{Account Category}} account for my dad,create_account,1
I am waiting for a reimbursement of {{Refund Amount}} dollras,track_refund,0
there are errors setting up the new shipping address,set_up_shipping_address,1
where do I see how long it takes for the item to arrive?,delivery_period,0
I do not know how I can change to the platinum account,switch_account,1
help me to make a consumer complaint against your business,complaint,0
"I can't pay for this item, can I cancel order {{Order Number}}?",cancel_order,1
i want aswistance to close a {{Account Category}} account,delete_account,1
assistance seeing how soon can i expect the item,delivery_period,0
how much will ya charge me if i cancel the contract,check_cancellation_fee,0
need assistance changing to the {{Account Category}} account,switch_account,1
"I want to speak to an operator, can you help me?",contact_human_agent,0
I don't know how I can write an opinion for a service,review,0
I need to see what hours I can contact customer service,contact_customer_service,0
edit premium accont,edit_account,1
can you help me submit a new delivery address?,set_up_shipping_address,1
I do not know what I have to do to buy an article,place_order,1
i do not know what to do to purchase several of ur product,place_order,1
error entering my new shipping address,set_up_shipping_address,1
I want help opening a standard account for my daughter,create_account,1
i need assistance editing purchase {{Order Number}},change_order,1
editing order {{Order Number}},change_order,1
"I need to enter another shipping address, could you help me?",set_up_shipping_address,1
assistance to see your accepted payment methods,check_payment_methods,0
help me to check in which cases can I request reimbursements,check_refund_policy,0
assistance canceling purchase {{Order Number}},cancel_order,1
I need help informing of an issue with payment,payment_issue,1
can uhelp me submit some feedback,review,0
I cannot recover my user PIN,recover_password,1
see early exit penalty,check_cancellation_fee,0
I don't know how I colud cancel order {{Order Number}},cancel_order,1
do you ship  to {{Delivery Country}}?,delivery_options,0
need  assistance to send feedback about your services,review,0
trouble setting up my secondary shipping address,set_up_shipping_address,1
update info on {{Account Type}} account,edit_account,1
"I have to enter my new delivery address, could you help m?",set_up_shipping_address,1
want help obtaining rebates,get_refund,1
I don't know what to do to see the early termination charges,check_cancellation_fee,0
i want help to open a {{Account Category}} account,create_account,1
how to change something of order {{Order Number}},change_order,1
cancel order {{Order Number}},cancel_order,1
can uhelpp me filing a reclamation against ur business,complaint,0
od ya deliver to {{Delivery Country}},delivery_options,0
I am waiting for a reimbursement of {{Refund Amount}} dollars,track_refund,0
switching to {{Account Category}} account,switch_account,1
"I need to see the delivery options, how do I do it?",delivery_options,0
"I want to see how soon can I expect my damn order, help me",delivery_period,0
what do I havew to do to earn a few of your article?,place_order,1
set up my shipping address,set_up_shipping_address,1
is it possible to order from {{Delivery City}},delivery_options,0
I don't know how I can get the bills from {{Person Name}},get_invoice,0
notifying of errors creating profile,registration_problems,0
I need help to speak to somebody,contact_human_agent,0
i need information about opening platinum accounts,create_account,1
"I nede to see the early exit fees, how can I do it?",check_cancellation_fee,0
editing info on premium account,edit_account,1
"I need to call damn customer support, how could I do it?",contact_customer_service,0
"someone stole my user key, help me retrieving it",recover_password,1
"I would like to send my feedback for a product, help me",review,0
question about my lost access key,recover_password,1
I do not know how to get in touch with customer assistance,contact_customer_service,0
how do i create a freemium account,create_account,1
help me submitting the shipping address,set_up_shipping_address,1
where can i leave an opinion for ur services,review,0
I want to see how long it takes for my order to arrive,delivery_period,0
how can I get information about platinum account deletions?,delete_account,1
canceling {{Account Type}} account,delete_account,1
"I cannot understand you, help me talking to a live agent",contact_human_agent,0
I am calling to see how soon can I expect my damn delivery,delivery_period,0
I want information about opening platinum accounts,create_account,1
need to check in which cases can i request an refund,check_refund_policy,0
can i switch to the {{Account Type}} account,switch_account,1
want help to solve errors with payment,payment_issue,1
is it possible to delete my freemium account?,delete_account,1
modifying info on gold accoumt,edit_account,1
need to check in what cases can i ask for a reimbursement,check_refund_policy,0
can i check ur aailable payment methods,check_payment_methods,0
problem with {{Account Type}} account cancellations,delete_account,1
changkng to freemium account,switch_account,1
where do I demand a reimbursement of my money?,get_refund,1
I want assistance to change to the {{Account Type}} account,switch_account,1
how to open a {{Account Type}} account for my fiance,create_account,1
i have an issue with my signup,registration_problems,0
want help creating a {{Account Category}} account,create_account,1
where to make a relcamation against your company?,complaint,0
is it possible to make a complaint against your company?,complaint,0
could you help me retrieving my user profile PIN code?,recover_password,1
can i use the {{Account Category}} profile,switch_account,1
I am trying to lodge a complaint against your organization,complaint,0
"I have got to list the payment modalities, help mne",check_payment_methods,0
help to list your allowed payment options,check_payment_methods,0
I cannot know if there are any updates on my damn refund,track_refund,0
I am waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},track_refund,0
can i create a {{Account Category}} account for my fiance,create_account,1
assistance to retrieve the key of my user profile,recover_password,1
help to get in touch with customer service,contact_customer_service,0
show me your fucking accepted payment options,check_payment_methods,0
edit {{Account Type}} accont,edit_account,1
assistance to unsubscribe from your company newsletter,newsletter_subscription,0
how can i earn several of urarticle,place_order,1
I want assistance checking how long refunds uaually take,check_refund_policy,0
change to freemium acount,switch_account,1
I want help seeing the cancellation charge,check_cancellation_fee,0
want assistance checking ur allowed payment methods,check_payment_methods,0
I try to list the payment modalities,check_payment_methods,0
deleting platinum accoumt,delete_account,1
how can i lodge a cuxtomer complaint against ur organization,complaint,0
I need to see under what circumstances can I ask for refunds,check_refund_policy,0
assistance with cancelling purchase {{Order Number}},cancel_order,1
can you help me see when my order is going to arrive?,delivery_period,0
i cant notifyof a registration issue,registration_problems,0
"I need to talk with customer support, how todo it?",contact_customer_service,0
deliverids to {{Delivery Country}},delivery_options,0
information about the termination of my {{Account Category}} account,delete_account,1
i do not know wnat i have to do to switch to the pro account,switch_account,1
I have to see in which situations can I ask to be refunded,check_refund_policy,0
"I need to check your reimbursement policy , help me",check_refund_policy,0
do you ship to {{Delivery Country}}?,delivery_options,0
check status of order {{Order Number}},track_order,0
I try to correct the shipping address,change_shipping_address,1
I don't know what I need to do to switch to the {{Account Type}} account,switch_account,1
where can I make a claim against your company?,complaint,0
need help receiving the company newsletter,newsletter_subscription,0
I want help to file a claim against your organization,complaint,0
help seeing what payment options you accept,check_payment_methods,0
could you help me get compensations of my money?,get_refund,1
cancel gold account,delete_account,1
I have got to contact a human agent,contact_human_agent,0
I want help to close a standard account,delete_account,1
need help  seeing how long the shipment takes,delivery_period,0
problems with premium account deletions,delete_account,1
how to check your accepted payment modalities?,check_payment_methods,0
help seeing purchase {{Order Number}} current status,track_order,0
tell me more about canceling my newsletter subscription,newsletter_subscription,0
I need help to unsubscribe to your newsletter,newsletter_subscription,0
there is anything new on my rebate,track_refund,0
problems with platinum account deletions,delete_account,1
I want to see how long it takes for my item to arrive,delivery_period,0
i want help seeing the goddamn ETA of purchase {{Order Number}},track_order,0
help to demand a rebate of my money,get_refund,1
i havent signed up yet how do i open a {{Account Type}} account wirh you,create_account,1
new pro account,create_account,1
is it possible to send some feedback about a service,review,0
would it be possible to check the early termination charge?,check_cancellation_fee,0
want help making a reclamation against ur company,complaint,0
is tere an e-mail to send a comment about a product,review,0
what is order {{Order Number}} status?,track_order,0
i have got to order several of ur product,place_order,1
tell me about correcting my shipping address,change_shipping_address,1
do uhave an e-mail to leave a comment for a product,review,0
assistance signing up,registration_problems,0
I'd like to get the bill from {{Person Name}} how to od it,get_invoice,0
help using the pro profile,switch_account,1
I want assistance canceling order {{Order Number}},cancel_order,1
I do not know what to do to check the termination penalties,check_cancellation_fee,0
remove item from order {{Order Number}},change_order,1
i have to chat with a huamn agent,contact_human_agent,0
i expect an rebate of {{Currency Symbol}}{{Refund Amount}},track_refund,0
get refund of money,get_refund,1
i try to cancel the subscription to ur company newsletter,newsletter_subscription,0
want assistance to leave a review for your prducts,review,0
open a {{Account Type}} account for my dad,create_account,1
where to modify the address,change_shipping_address,1
ehlp me get bill #12588,get_invoice,0
is it possible to check the withdrawal charges,check_cancellation_fee,0
how do I edit order {{Order Number}}?,change_order,1
need assistance tosee your available payment methods,check_payment_methods,0
I need help lodging an reclamation against your company,complaint,0
I don't know what to do to track the refund,track_refund,0
"I have got to submit the secondary shipping address, help me",set_up_shipping_address,1
where can i shop some articles,place_order,1
is it possible to enter a new shipping address?,set_up_shipping_address,1
where could I list the goddamn accepted payment methods?,check_payment_methods,0
need help to request rebates of my money,get_refund,1
is it possible to notify of a problem with a signup?,registration_problems,0
i want help to reset my user profile pin code,recover_password,1
want help acquiring a few of your article,place_order,1
i need assistance seeing the termination fees,check_cancellation_fee,0
i need help to update my account,edit_account,1
removing standard acconut,delete_account,1
question about cancelling order {{Order Number}},cancel_order,1
"I want to receive your company newsletter , how do I do it?",newsletter_subscription,0
could you help me retrieve the password of my user account?,recover_password,1
would it be possible to see what shipping methods are there?,delivery_options,0
need assistance downloading my invoice{{Invoice Number}},get_invoice,0
how do i see how long it takes for my delivery to arrive,delivery_period,0
how do I see your money back policy?,check_refund_policy,0
wanna edit my user info how to do it,edit_account,1
could I sybmit my feedback for your company?,review,0
"I have to shop an article, I need help",place_order,1
want help making a claim against ur organization,complaint,0
i dont know what to do tgo download the bill #12588,get_invoice,0
can you help me track order {{Order Number}}?,track_order,0
assistance recovering the access key of my user profile,recover_password,1
can you help me receiving rebates of money?,get_refund,1
"I have lost the key of my account, I want to reset it",recover_password,1
how do I receive the corporate newsletter?,newsletter_subscription,0
can you help me to recober the PIN of my account?,recover_password,1
"I have to edit order {{Order Number}}, how do I do it?",change_order,1
I need to write a comment for your company,review,0
i cant pay  inform of a problem with payment,payment_issue,1
how do I earn several of your article?,place_order,1
want help to file a consumer claim against your organization,complaint,0
i needhelp to acquire several items,place_order,1
i have problems with canceling order {{Order Number}},cancel_order,1
assistance to see how long reimbursements usually take,check_refund_policy,0
another platinum account,create_account,1
when will i obtain a reimbursement of money,get_refund,1
help me creating a {{Account Type}} account,create_account,1
supports editing the address,change_shipping_address,1
i want help checking in what cases can i ask for a refund,check_refund_policy,0
can i lodge a consumer reclamaion against ur business,complaint,0
I need to check what damn delivery methods are available,delivery_options,0
can you help me checking the methods for shipment?,delivery_options,0
change details on {{Account Type}} account,edit_account,1
i want help to delete some products from order {{Order Number}},change_order,1
want assistance notifying of errors with payments,payment_issue,1
do ya deliver to {{Delivery City}},delivery_options,0
is it possible to receive refunds of money?,get_refund,1
